No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData mean Electronegativity,MagpieData mean AtomicRadius,MagpieData mean CovalentRadius,MagpieData mean Density,MagpieData mean Row,MagpieData mean Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (ÃÂÃÂµg/mL),MIC_class,MIC_pred (ÃÂµg/mL),MBC_pred (Âµg/mL),MBC_pred (µg/mL)
98,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,21.806557,142.81245,689.07324
99,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.5907,89.45929,487.80557
100,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,220.21576,133.19112,505.37106
101,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,85.164925,158.78685,689.07324
102,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,98.92109,118.02917,487.80557
103,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,80.19427,94.48596,505.37106
104,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,44.776474,133.42097,689.07324
105,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,28.962116,80.06779,487.80557
106,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,54.414616,103.877464,505.37106
107,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-0.6016346,142.81245,689.07324
108,,Ag,Ag,47,1.93,1.6,145,10490,5,11,11,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,3.1825151,89.45929,487.80557
109,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,220.21576,133.19112,505.37106
110,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,85.164925,158.78685,689.07324
111,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,98.92109,118.02917,487.80557
112,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,80.19427,94.48596,505.37106
113,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,44.776474,133.42097,689.07324
114,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,28.962116,80.06779,487.80557
115,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,54.414616,103.877464,505.37106
116,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-0.6016346,142.81245,689.07324
117,,Ag,Ag,47,1.93,1.6,145,10490,5,11,12,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,3.1825151,89.45929,487.80557
118,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,204.39742,133.19112,493.7289
119,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,71.96142,158.78685,687.2422
120,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,85.71757,118.02917,481.5221
121,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,77.62754,94.48596,493.7289
122,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,44.824585,133.42097,687.2422
123,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,29.010239,80.06779,481.5221
124,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,51.847885,103.877464,493.7289
125,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-0.55352074,142.81245,687.2422
126,,Ag,Ag,47,1.93,1.6,145,10490,5,11,13,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,3.2306328,89.45929,481.5221
127,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,204.39742,133.19112,493.7289
128,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,71.96142,158.78685,687.2422
129,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,85.71757,118.02917,481.5221
130,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,77.62754,94.48596,493.7289
131,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,44.824585,133.42097,687.2422
132,,Ag,Ag,47,1.93,1.6,145,10490,5,11,14,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,29.010239,80.06779,481.5221
